structure_case,structure_control,surface,location,dtr_daytime_case,dtr_daytime_control,dtr_nighttime_case,dtr_nighttime_control
18A,19,Indoor,H,11.4375,17.25,10.3125,13.9375
18A,19,Outdoor,H,32.125,32.125,22.5,22.5
20,86,Indoor,H,14.1875,18.1875,11.8125,15.0625
20,86,Indoor,R,12.1875,21.875,10.3125,18.3125
20,86,Indoor,W,14.0625,13.625,11.375,12.5
20,86,Outdoor,H,34.75,34.625,20.375,21.125
20,86,Outdoor,W,25.5625,29.625,18.4375,20.5
22,44,Indoor,H,9.5625,13.9375,8.0,9.25
22,44,Outdoor,H,31.4375,26.875,15.875,15.5
30,29,Indoor,H,12.625,12.375,11.375,11.125
30,29,Indoor,R,18.125,18.75,14.1875,16.0625
30,29,Indoor,W,9.25,10.0625,8.6875,9.625
30,29,Outdoor,H,19.75,19.75,15.8125,15.8125
30,29,Outdoor,R,32.1875,35.625,18.875,19.6875
30,29,Outdoor,W,17.875,17.375,14.9375,14.0
37,68,Indoor,H,13.1875,14.125,9.625,11.5
37,68,Indoor,R,11.1875,11.4375,9.75,9.5
37,68,Indoor,R,21.875,11.4375,15.0625,9.5
37,68,Indoor,W,12.0,10.75,9.25,9.0
37,68,Outdoor,H,26.5,39.4375,14.6875,23.625
37,68,Outdoor,R,31.4375,42.375,17.375,19.6875
37,68,Outdoor,W,16.6875,29.0,13.0,15.6875
41,71,Indoor,H,12.1875,12.8125,10.375,10.4375
41,71,Outdoor,H,16.9375,39.4375,12.375,23.625
46,95,Indoor,H,14.5,17.9375,12.75,16.5
46,95,Outdoor,H,29.4375,31.0625,19.125,20.625
48,92,Indoor,H,11.3125,13.8125,10.0625,10.8125
48,92,Outdoor,H,25.3125,39.4375,14.6875,23.625
5,23,Indoor,H,14.625,16.8125,12.625,13.4375
5,23,Outdoor,H,29.75,31.9375,17.0,18.25
