structure_case,structure_control,surface,location,dtr_daytime_case,dtr_daytime_control,dtr_nighttime_case,dtr_nighttime_control,dtr_day_diff,dtr_night_diff,dtr_day_diff_ci_lower,dtr_day_diff_ci_upper,dtr_day_p_value,dtr_night_diff_ci_lower,dtr_night_diff_ci_upper,dtr_night_p_value
18A,19,Indoor,H,11.4375,17.25,10.3125,13.9375,-5.8125,-3.625,,,,,,
18A,19,Outdoor,H,32.125,32.125,22.5,22.5,0.0,0.0,,,,,,
20,86,Indoor,H,14.1875,18.1875,11.8125,15.0625,-4.0,-3.25,,,,,,
20,86,Indoor,R,12.1875,21.875,10.3125,18.3125,-9.6875,-8.0,,,,,,
20,86,Indoor,W,14.0625,13.625,11.375,12.5,0.4375,-1.125,,,,,,
20,86,Outdoor,H,34.75,34.625,20.375,21.125,0.125,-0.75,,,,,,
20,86,Outdoor,W,25.5625,29.625,18.4375,20.5,-4.0625,-2.0625,,,,,,
22,44,Indoor,H,9.5625,13.9375,8.0,9.25,-4.375,-1.25,,,,,,
22,44,Outdoor,H,31.4375,26.875,15.875,15.5,4.5625,0.375,,,,,,
30,29,Indoor,H,12.625,12.375,11.375,11.125,0.25,0.25,,,,,,
30,29,Indoor,R,18.125,18.75,14.1875,16.0625,-0.625,-1.875,,,,,,
30,29,Indoor,W,9.25,10.0625,8.6875,9.625,-0.8125,-0.9375,,,,,,
30,29,Outdoor,H,19.75,19.75,15.8125,15.8125,0.0,0.0,,,,,,
30,29,Outdoor,R,32.1875,35.625,18.875,19.6875,-3.4375,-0.8125,,,,,,
30,29,Outdoor,W,17.875,17.375,14.9375,14.0,0.5,0.9375,,,,,,
37,68,Indoor,H,13.1875,14.125,9.625,11.5,-0.9375,-1.875,,,,,,
37,68,Indoor,R,11.1875,11.4375,9.75,9.5,-0.25,0.25,,,,,,
37,68,Indoor,R,21.875,11.4375,15.0625,9.5,10.4375,5.5625,,,,,,
37,68,Indoor,W,12.0,10.75,9.25,9.0,1.25,0.25,,,,,,
37,68,Outdoor,H,26.5,39.4375,14.6875,23.625,-12.9375,-8.9375,,,,,,
37,68,Outdoor,R,31.4375,42.375,17.375,19.6875,-10.9375,-2.3125,,,,,,
37,68,Outdoor,W,16.6875,29.0,13.0,15.6875,-12.3125,-2.6875,,,,,,
41,71,Indoor,H,12.1875,12.8125,10.375,10.4375,-0.625,-0.0625,,,,,,
41,71,Outdoor,H,16.9375,39.4375,12.375,23.625,-22.5,-11.25,,,,,,
46,95,Indoor,H,14.5,17.9375,12.75,16.5,-3.4375,-3.75,,,,,,
46,95,Outdoor,H,29.4375,31.0625,19.125,20.625,-1.625,-1.5,,,,,,
48,92,Indoor,H,11.3125,13.8125,10.0625,10.8125,-2.5,-0.75,,,,,,
48,92,Outdoor,H,25.3125,39.4375,14.6875,23.625,-14.125,-8.9375,,,,,,
5,23,Indoor,H,14.625,16.8125,12.625,13.4375,-2.1875,-0.8125,,,,,,
5,23,Outdoor,H,29.75,31.9375,17.0,18.25,-2.1875,-1.25,,,,,,
Summary,,,Overall,19.402083333333334,22.795833333333334,13.6875,15.69375,-3.39375,-2.00625,-5.651531334381014,-1.1359686656189862,0.006287225248766073,-3.2194123877975556,-0.7930876122024446,0.002985320921756942
